"ID	","分类	","标题	","作者	","内容	","附件	","创建时间	","最后更新	"
1011759,"增值服务-供应链金融	","供应链金融接入流程	","付钱拉客服-803	","商户洽谈——融资需求——平台受理——完成放款	",-,2017/11/30 16:27,2017/11/30 16:27
1012190,"增值服务-企业理财	","企业理财介绍/企业理财简介	","付钱拉客服-803	","企业理财是付钱拉与银行等金融机构合作，推出的服务于中小微企业资金增值的互联网金融解决方案。


提供多种期限及收益的企业理财产品，结合企业日常经营资金使用规律定制专属的理财产品策略，收益性和流动性兼顾，提升资金效率。	",-,2017/12/4 13:58,2017/12/4 13:58
1012191,"增值服务-企业理财	","企业理财业务模式	","付钱拉客服-803	","	",-,2017/12/4 13:59,2017/12/4 13:59
1012192,"增值服务-企业理财	","企业理财优势 	","付钱拉客服-803	","企业理财六大优势
资产严选：专业FICO系统评估，权威风控团队审核
产品丰富：活期、定期产品多元，可按需定制理财产品
投资门槛低：千元起投，买入零成本，企业理财触手可及
流程简单：企业理财轻松购买，随时查看投资情况
服务专业：成熟的金融服务经验，专业的理财配置方案
资金安全：资金全流程金融监管，独立风险金保障赔付	",-,2017/12/4 13:59,2017/12/4 13:59
1012193,"增值服务-企业理财	","企业理财接入步骤/企业理财接入流程/企业理财开通流程	","付钱拉客服-803	","商户洽谈——理财方案推荐——投资支付——坐享收益	",-,2017/12/4 14:01,2017/12/4 14:01
1011780,"增值服务-流量变现	","流量变现简介/流量变现介绍	","付钱拉客服-803	","通过与多个金融机构合作，面向广大中小微企业平台提供精选、安全、便捷的互联网金融产品及综合理财业务解决方案。
企业产品以自身流量为基础，通过引入符合其平台用户投资需求的互联网金融理财产品进行理财产品销售。


最终实现企业平台增加用户黏性及快速实现流量变现，理财用户获得资金增值收益，金融机构提升产品销量的合作共赢。	",-,2017/12/1 15:06,2017/12/1 15:06
1011781,"增值服务-流量变现	","流量变现优势	","付钱拉客服-803	","快速接入：标准化接入流程，让你轻松接入理财
产品定制：活期:+3.50%,定期: +6%~13%可按平台需求个性化定制
安全保障：资金全流程金融机构监管，安全有保障
优质资产：专业的资产审核机制，引入多家知名金融机构最优质资产	",-,2017/12/1 15:07,2017/12/1 15:07
1011782,"增值服务-流量变现	","流量变现接入流程	","付钱拉客服-803	","方式一：页面嵌入可直接将付钱拉或理财平台页面嵌入到商户平台
方式二：API接口接入，可自己定制化理财产品	",-,2017/12/1 15:08,2017/12/1 15:08
1012187,"增值服务-二手车电商	","二手车电商介绍/二手车电商简介	","付钱拉客服-803	","二手车电商行业解决方案是付钱拉为二手车电商平台提供的综合性解决方案。
针对二手车电商平台交易过程中亟待解决的问题，付钱拉准确定位行业需求，提供线上交易、账务服务、资金存管以及金融服务等解决方案，减轻电商平台运营负担，降低交易成本，使平台轻松开展二手车交易	",-,2017/12/4 13:49,2017/12/4 13:49
1012188,"增值服务-二手车电商	","二手车电商服务类型/二手车服务类型	","付钱拉客服-803	","线上服务
账务服务
资金存管
金融服务	",-,2017/12/4 13:49,2017/12/4 13:49
1012189,"增值服务-二手车电商	","二手车电商优势/二手车优势	","付钱拉客服-803	","高拓展性：专业合理的技术架构,轻松应对复杂业务模式


极速响应：对接成本低、周期短，全方位服务极速响应


安全可靠：数据加密和容灾方案，7*24不间断服务	",-,2017/12/4 13:49,2017/12/4 13:49
1011457,"增值服务-商易通	","电商存管产品介绍/商易通介绍	","付钱拉客服-803	","电商资金存管：电商平台将客户交易资金存放于有资质的商业银行的存管专用账户中，平台不触碰客户资金，规避资金挪用和平台跑路的风险。	",-,2017/11/15 13:37,2017/11/28 09:42
1011458,"增值服务-商易通	","电商存管接入流程/商易通接入流程	","付钱拉客服-803	","共四步：
1、 业务洽谈与资料收集
2、 银行尽职调查?
3、 签署存管协议并开立存管账户
4、 系统对接－上线运行
整个流程需要的时间视平台可以配合的开发资源而定，一般2-3个月可以上线。	",-,2017/11/15 13:48,2017/11/28 09:43
1011459,"增值服务-商易通	","资金存管银行/商易通存管银行	","付钱拉客服-803	","武汉众邦银行的资金存管。	",-,2017/11/15 13:48,2017/11/28 09:43
1011460,"增值服务-商易通	","电商行业为什么要做存管／电商存管优势/商易通优势	","付钱拉客服-803	","首先，电商作为买卖双方中间的平台，如果没有支付牌照，是没有资格做代收付资金业务的，然而目前很多电商冒着很大的风险在做代收付，去年已经有多家平台被央行约谈了；
?其次，电商的资金安全性也在被大众关注着，电商平台的大量资金沉淀存在很大的风险，前一阵的共享单车提现困难其实就是这方面的提现，所以用户对资金安全性的关注也是电商很在意的方面。
?那么与银行合作资金存管是指把交易资金存管在银行的存管专用账户中，资金不再过平台的自有账户，既解决了平台二清的不合规的问题，又可以消除用户对资金安全的顾虑。	",-,2017/11/15 13:48,2017/11/28 09:43
1011461,"增值服务-商易通	","电商存管范围/商易通范围	","付钱拉客服-803	","对于没有支付牌照的电商平台如果涉及到收取买家资金再结算给卖家，即属于“平台二清”，是有存管需求的，比如b2c／b2b等类型的平台；或者有些收取用户押金的平台，如o2o共享单车其实也是需要把用户押金进行存管起来，用户才会对平台有更多的信赖	",-,2017/11/15 13:48,2017/11/28 09:43
1011462,"增值服务-商易通	","电商存管接入条件/商易通接入条件	","付钱拉客服-803	","1.平台注册资本100万元以上；
2. 有正规电商平台网站；
3. 没有资金安全方面的负面新闻；	",-,2017/11/15 13:48,2017/11/28 09:44
1011463,"增值服务-商易通	","电商存管报价/商易通报价	","付钱拉客服-803	","产品价格分为一次性接入费、存管费和系统维护费。具体的价格要咨询相应的销售人员。	",-,2017/11/15 13:48,2017/11/28 09:44
1390,"商户业务	","商户合作流程	","付钱拉客服-801	","我们合作流程就是先官网注册--提交企业资质--审核--（代申请通道）/对接通道--配置参数--调试完成上线。	",-,2016/9/21 19:27,2017/11/22 17:36
1392,"商户业务	","付钱拉代申请周期/代申请期限/代申请时间	","付钱拉客服-801	","在使用付钱拉的过程中，付钱拉提供通道代申请服务。企业在付钱拉官网勾选需要代申请的通道，并提交通道要求相关资料，付钱拉即可为您进行通道代申请。


支付宝，微信，百度钱包，京东支付，易宝支付，百度钱包：7-15个工作日


银联， Apple Pay：10-30 个工作日	",-,2016/9/21 19:28,2017/12/7 18:09
1394,"商户业务	","商户已经有账号通道，为什么还要提供资质给你们/商户开通了支付权限需要提供资质给付钱拉	","付钱拉客服-801	","资料是为了再次确认您对支付账号的所有权，合法性的要求。


付钱拉要确保所有的接入方公司都是合法的，包括公司资质和业务内容，这也是对所有接入商户负责。	",-,2016/9/21 19:29,2017/11/22 17:40
1395,"商户业务	","支付权限/支付通道权限/开通支付通道/代申请开通	","付钱拉客服-801	","我们的SDK是建立于不同应用场景，可接入不同的支付通道，但前提是需要有开通完成的支付通道。


若没有支付通道我们可以为您代申请开通，申请开通需要企业的相关资质。	",-,2016/9/21 19:29,2017/11/22 17:44
1397,"商户业务	","付钱拉官网注册上传企业资质注意事项	","付钱拉客服-801	","若是三证合一（营业执照、组织机构代码证、税务登记证）需要在营业执照、组织机构代码证、税务登记证位置均上传三证合一的营业执照即可。
所有上传位置不能为空，如截图：	",-,2016/9/21 19:30,2017/11/22 17:45
1398,"商户业务	","商户已经提交资料需要审核/商户审核周期	","付钱拉客服-801	","我们会安排后台人员进行核实，请您耐心等待，审核通过后会有售后人员与您联系核实您的具体需求已经后续的对接工作，期间请您耐心等待哦！	",-,2016/9/21 19:30,2017/11/22 17:46
1505,"商户业务	","申请网站备案/ICP备案申请/ICP备案办理/申请备案	","付钱拉客服-801	","备案的目的就是为了防止在网上从事非法的网站经营活动，打击不良互联网信息的传播，如果网站不备案的话，很有可能被查处以后关停。非经营性网站自主备案是不收任何手续费的，所以建议大家可以自行到备案官方网站去备案。
申请备案流程：

（1） 登录中华人民共和国工业和信息化部网站；
（2） ICP 注册；
（3） 输入手机、邮件验证码；
（4） 录入备案信息；
（5） 将备案编号和电子证书安放在规定的位置。	",-,2016/9/28 10:08,2017/12/19 14:48
1918,"商户业务	","无ICP备案/服务器是香港或是国外，是否可以办理接入？	","付钱拉客服-801	","大陆主体商户，只要是有网站一定要有icp备案。无论是网站在国内还是国外。	",-,2016/10/10 15:55,2017/12/19 14:48
1000591,"商户业务	","结算问题/结算流程/结算周期/到账时间/商户结算	","付钱拉客服-801	","1、请提供商户名称，确认交易时间，到账结算笔数及共计金额。还有结算银行卡号
2、因我司结算是T+1（工作日）结算，通道是分批量结算的，故需要核实交易笔数以及客户收到的结算金额笔数。
3、商户核对时不以收到短信提示为准因有些银行低于多少钱就没有短信提示，需要查询结算银行卡账户明细；若确认有结算误差后，需要商户反馈至代理商，由我司销售同事统一反馈至我司结算人员进行统一核实反馈。	",-,2016/12/27 12:12,2017/11/22 17:50
